Actinium	Ac	89	227	Solid	Metal	1.1	1	Actinium
Thorium	Th	90	232	Solid	Metal	0	x	R/A
Protactinium	Pa	91	231	Solid	Metal	0	x	R/A
Uranium	U	92	238	Solid	Metal	0	x	R/A
Neptunium	Np	93	237	Solid	Metal	0	x	R/A
Plutonium	Pu	94	245	Solid	Metal	0	x	R/A
Americium	Am	95	243	Solid	Metal	0	x	R/A
Curium	Cm	96	247	Solid	Metal	0	x	R/A
Berkelium	Bk	97	247	Solid	Metal	0	x	R/A
Californium	Cf	98	251	Solid	Metal	0	x	R/A
Einsteinium	Es	99	252	Solid	Metal	0	x	R/A
Fermium	Fm	100	257	Solid	Metal	0	x	R/A
Mendelivium	Md	101	258	Solid	Metal	0	x	R/A
Nobelium	No	102	259	Solid	Metal	0	x	R/A
Lawrencium	Lr	103	262	Solid	Metal	0	x	R/A
Rutherfordium	Rf	104	261	Radioactive	Metal	0	x	R/A
Dubnium	Db	105	262	Radioactive	Metal	0	x	R/A
Seaborgium	Sg	106	263	Radioactive	Metal	0	x	R/A
Bohrium	Bh	107	262	Radioactive	Metal	0	x	R/A
Hassium	Hs	108	265	Radioactive	Metal	0	x	R/A
Meitnerium	Mt	109	266	Radioactive	Metal	0	x	R/A
Darmstadtium	Ds	110	269	Radioactive	Metal	0	x	R/A
Roentgenium	Rg	111	272	Radioactive	Metal	0	x	R/A
Copernecium	Cp	112	277	Radioactive	Metal	0	x	R/A
Nihonium	Nh	113	284	Radioactive	Metal	0	x	R/A
Flevorium	Fl	114	289	Radioactive	Metal	0	x	R/A
Moscovium	Mc	115	288	Radioactive	Metal	0	x	R/A
Livermorium	Lv	116	292	Radioactive	Metal	0	x	R/A
Tennessine	Ts	117	293	Radioactive	Metal	0	x	R/A
Oganesson	Og	118	294	Radioactive	Metal	0	x	N/G
